nominal;data;curs;cdx
100;05.03.2022;"21,0112";јрм¤нский драм
100;04.03.2022;"22,7494";јрм¤нский драм
100;03.03.2022;"21,1143";јрм¤нский драм
100;02.03.2022;"18,8196";јрм¤нский драм
100;01.03.2022;"19,5240";јрм¤нский драм
100;26.02.2022;"17,4059";јрм¤нский драм
100;25.02.2022;"18,1102";јрм¤нский драм
100;23.02.2022;"16,6638";јрм¤нский драм
100;22.02.2022;"15,9931";јрм¤нский драм
100;19.02.2022;"15,8465";јрм¤нский драм
100;18.02.2022;"15,7818";јрм¤нский драм
100;17.02.2022;"15,6198";јрм¤нский драм
100;16.02.2022;"15,8679";јрм¤нский драм
100;15.02.2022;"15,9700";јрм¤нский драм
100;12.02.2022;"15,6125";јрм¤нский драм
100;11.02.2022;"15,5481";јрм¤нский драм
100;10.02.2022;"15,5918";јрм¤нский драм
100;09.02.2022;"15,5990";јрм¤нский драм
100;08.02.2022;"15,6786";јрм¤нский драм
100;05.02.2022;"15,7537";јрм¤нский драм
100;04.02.2022;"15,8597";јрм¤нский драм
100;03.02.2022;"15,8354";јрм¤нский драм
100;02.02.2022;"15,9690";јрм¤нский драм
100;01.02.2022;"16,0394";јрм¤нский драм
100;29.01.2022;"16,1113";јрм¤нский драм
100;28.01.2022;"16,3536";јрм¤нский драм
100;27.01.2022;"16,3445";јрм¤нский драм
100;26.01.2022;"16,3667";јрм¤нский драм
100;25.01.2022;"16,1009";јрм¤нский драм
100;22.01.2022;"15,9539";јрм¤нский драм
100;21.01.2022;"15,8954";јрм¤нский драм
100;20.01.2022;"15,9912";јрм¤нский драм
100;19.01.2022;"15,8601";јрм¤нский драм
100;18.01.2022;"15,7760";јрм¤нский драм
100;15.01.2022;"15,6948";јрм¤нский драм
100;14.01.2022;"15,4466";јрм¤нский драм
100;13.01.2022;"15,4943";јрм¤нский драм
100;12.01.2022;"15,5019";јрм¤нский драм
100;11.01.2022;"15,5311";јрм¤нский драм
100;31.12.2021;"15,5164";јрм¤нский драм
100;30.12.2021;"14,9576";јрм¤нский драм
100;29.12.2021;"14,9230";јрм¤нский драм
100;28.12.2021;"14,8696";јрм¤нский драм
100;25.12.2021;"14,8606";јрм¤нский драм
100;24.12.2021;"14,8348";јрм¤нский драм
100;23.12.2021;"14,9843";јрм¤нский драм
100;22.12.2021;"14,9890";јрм¤нский драм
100;21.12.2021;"15,0822";јрм¤нский драм
100;18.12.2021;"14,9681";јрм¤нский драм
100;17.12.2021;"14,8899";јрм¤нский драм
100;16.12.2021;"14,9526";јрм¤нский драм
100;15.12.2021;"14,8154";јрм¤нский драм
100;14.12.2021;"14,8605";јрм¤нский драм
